rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, variable_type, variable_value, attribute_name, attribute_type, attribute_value
GLOBAL,,,WHLS75-I-2,9788,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,WHLS75-I-2,9788,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,120.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,WHLS75-I-2,9788,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"120.00"
GLOBAL,,,WHS300-I-UG306,17054,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,WHS300-I-UG306,17054,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,120.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,WHS300-I-UG306,17054,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"120.00"
GLOBAL,,,SBE37SMP,15121,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,SBE37SMP,15121,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,463.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,SBE37SMP,15121,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"463.00"
GLOBAL,,,SBE37SMP,9171,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,SBE37SMP,9171,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,300.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,SBE37SMP,9171,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"300.00"
GLOBAL,,,SBE37SMP,9335,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,SBE37SMP,9335,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,40.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,SBE37SMP,9335,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"40.00"
GLOBAL,,,SBE37SMP,9895,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,SBE37SMP,9895,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,80.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,SBE37SMP,9895,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"80.00"
GLOBAL,,,SBE37SMP,9905,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,SBE37SMP,9905,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,135.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,SBE37SMP,9905,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"135.00"
GLOBAL,,,SBE37SMP,9911,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,SBE37SMP,9911,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,200.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,SBE37SMP,9911,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"200.00"
GLOBAL,,,SBE39,1332,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,SBE39,1332,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,350.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,SBE39,1332,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"350.00"
GLOBAL,,,SBE39,4777,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,SBE39,4777,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,60.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,SBE39,4777,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"60.00"
GLOBAL,,,SBE39,4780,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,SBE39,4780,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,100.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,SBE39,4780,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"100.00"
GLOBAL,,,SBE39,4782,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,SBE39,4782,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,250.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,SBE39,4782,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"250.00"
GLOBAL,,,Starmon mini,T-3998,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,Starmon mini,T-3998,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,170.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,Starmon mini,T-3998,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"170.00"
GLOBAL,,,Starmon mini,T-3999,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,Starmon mini,T-3999,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,400.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,Starmon mini,T-3999,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"400.00"
GLOBAL,,,Sable,300034012397750,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,Sable,300034012397750,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,40.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,Sable,300034012397750,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"40.00"
GLOBAL,,,XMF-11K,631,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 500-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 500-04-2018,XMF-11K,631,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,40.00,,,""
GLOBAL,,EAC-EAC 500-04-2018,XMF-11K,631,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"40.00"
GLOBAL,,,ACR8242XS,36090,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,ACR8242XS,36090,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1887.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,ACR8242XS,36090,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1887.00"
GLOBAL,,,ACR8242XS,53666,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,ACR8242XS,53666,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1887.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,ACR8242XS,53666,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1887.00"
GLOBAL,,,IBCN-3,300434061135810,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,IBCN-3,300434061135810,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,120.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,IBCN-3,300434061135810,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"120.00"
GLOBAL,,,Aquadopp DW 2Mhz,A6L-3637 (AQD 5943),2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,Aquadopp DW 2Mhz,A6L-3637 (AQD 5943),2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1195.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,Aquadopp DW 2Mhz,A6L-3637 (AQD 5943),2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1195.00"
GLOBAL,,,Aquadopp DW 2Mhz,A6L-3638 (AQD 5971),2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,Aquadopp DW 2Mhz,A6L-3638 (AQD 5971),2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1500.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,Aquadopp DW 2Mhz,A6L-3638 (AQD 5971),2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1500.00"
GLOBAL,,,Aquadopp DW 2Mhz,A6L-3639 (AQD 5975),2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,Aquadopp DW 2Mhz,A6L-3639 (AQD 5975),2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1810.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,Aquadopp DW 2Mhz,A6L-3639 (AQD 5975),2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1810.00"
GLOBAL,,,WHLS150-I-1,17958,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,WHLS150-I-1,17958,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,120.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,WHLS150-I-1,17958,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"120.00"
GLOBAL,,,WHLS75-I-2,14168,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,WHLS75-I-2,14168,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,120.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,WHLS75-I-2,14168,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"120.00"
GLOBAL,,,WHLS75-I-2,24473,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,WHLS75-I-2,24473,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,650.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,WHLS75-I-2,24473,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"650.00"
GLOBAL,,,SBE37SMP,13081,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE37SMP,13081,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1190.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE37SMP,13081,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1190.00"
GLOBAL,,,SBE37SMP,15131,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE37SMP,15131,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,485.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE37SMP,15131,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"485.00"
GLOBAL,,,SBE37SMP,15134,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE37SMP,15134,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,610.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE37SMP,15134,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"610.00"
GLOBAL,,,SBE37SMP,7895,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE37SMP,7895,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1811.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE37SMP,7895,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1811.00"
GLOBAL,,,SBE37SMP,9183,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE37SMP,9183,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,300.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE37SMP,9183,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"300.00"
GLOBAL,,,SBE37SMP,9336,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE37SMP,9336,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,40.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE37SMP,9336,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"40.00"
GLOBAL,,,SBE37SMP,9896,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE37SMP,9896,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,80.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE37SMP,9896,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"80.00"
GLOBAL,,,SBE37SMP,9906,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE37SMP,9906,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,135.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE37SMP,9906,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"135.00"
GLOBAL,,,SBE37SMP,9912,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE37SMP,9912,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,200.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE37SMP,9912,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"200.00"
GLOBAL,,,SBE39,4887,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE39,4887,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,250.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE39,4887,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"250.00"
GLOBAL,,,SBE39,4888,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE39,4888,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,350.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE39,4888,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"350.00"
GLOBAL,,,SBE39plus,39p-8086,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE39plus,39p-8086,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,60.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE39plus,39p-8086,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"60.00"
GLOBAL,,,SBE39plus,39p-8087,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE39plus,39p-8087,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,100.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE39plus,39p-8087,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"100.00"
GLOBAL,,,SBE39plus,39p-8107,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE39plus,39p-8107,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,800.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE39plus,39p-8107,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"800.00"
GLOBAL,,,SBE39plus,39p-8108,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE39plus,39p-8108,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1000.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE39plus,39p-8108,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1000.00"
GLOBAL,,,SBE39plus,39p-8435,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,SBE39plus,39p-8435,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1500.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,SBE39plus,39p-8435,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1500.00"
GLOBAL,,,Starmon mini,T-4000,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,Starmon mini,T-4000,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,170.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,Starmon mini,T-4000,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"170.00"
GLOBAL,,,Starmon mini,T-4001,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,Starmon mini,T-4001,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,400.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,Starmon mini,T-4001,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"400.00"
GLOBAL,,,Starmon mini,T-4005,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,Starmon mini,T-4005,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1300.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,Starmon mini,T-4005,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1300.00"
GLOBAL,,,Starmon mini,T-4007,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,Starmon mini,T-4007,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1750.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,Starmon mini,T-4007,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1750.00"
GLOBAL,,,Sable,300034012398590,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,Sable,300034012398590,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,40.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,Sable,300034012398590,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"40.00"
GLOBAL,,,XMF-11K,632,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 2000-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 2000-04-2018,XMF-11K,632,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,40.00,,,""
GLOBAL,,EAC-EAC 2000-04-2018,XMF-11K,632,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"40.00"
GLOBAL,,,ACR8242XS,34623,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 3200-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 3200-04-2018,ACR8242XS,34623,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,3157.00,,,""
GLOBAL,,EAC-EAC 3200-04-2018,ACR8242XS,34623,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"3157.00"
GLOBAL,,,ACR8242XS,35504,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 3200-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 3200-04-2018,ACR8242XS,35504,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,3157.00,,,""
GLOBAL,,EAC-EAC 3200-04-2018,ACR8242XS,35504,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"3157.00"
GLOBAL,,,IBCN-3,300434061135870,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 3200-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 3200-04-2018,IBCN-3,300434061135870,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,120.00,,,""
GLOBAL,,EAC-EAC 3200-04-2018,IBCN-3,300434061135870,2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"120.00"
GLOBAL,,,Aquadopp DW 2Mhz,A6L-3641 (AQD 5938),2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 3200-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 3200-04-2018,Aquadopp DW 2Mhz,A6L-3641 (AQD 5938),2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1195.00,,,""
GLOBAL,,EAC-EAC 3200-04-2018,Aquadopp DW 2Mhz,A6L-3641 (AQD 5938),2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1195.00"
GLOBAL,,,Aquadopp DW 2Mhz,A6L-3653 (AQD 5976),2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 3200-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 3200-04-2018,Aquadopp DW 2Mhz,A6L-3653 (AQD 5976),2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,1500.00,,,""
GLOBAL,,EAC-EAC 3200-04-2018,Aquadopp DW 2Mhz,A6L-3653 (AQD 5976),2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"1500.00"
GLOBAL,,,Aquadopp DW 2Mhz,A6L-3654 (AQD 5928),2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 3200-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 3200-04-2018,Aquadopp DW 2Mhz,A6L-3654 (AQD 5928),2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,2005.00,,,""
GLOBAL,,EAC-EAC 3200-04-2018,Aquadopp DW 2Mhz,A6L-3654 (AQD 5928),2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"2005.00"
GLOBAL,,,Aquadopp DW 2Mhz,A6L-3655 (AQD 5961),2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 3200-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 3200-04-2018,Aquadopp DW 2Mhz,A6L-3655 (AQD 5961),2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,3080.00,,,""
GLOBAL,,EAC-EAC 3200-04-2018,Aquadopp DW 2Mhz,A6L-3655 (AQD 5961),2018-04-01,2019-10-01,,"","",,,instrument_nominal_depth,float64,"3080.00"
GLOBAL,,,WHLS150-I-1,17959,2018-04-01,2019-10-01,,"","",,,deployment_code,str,"EAC-EAC 3200-04-2018"
VAR,NOMINAL_DEPTH,EAC-EAC 3200-04-2018,WHLS150-I-1,17959,2018-04-01,2019-10-01,NOMINAL_DEPTH,"()","()",float64,120.00,,,""
